,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
7,Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0,1,335991,1,68
8,Vikram Singh,4,0,40,1,10,10,5,2,1,0,1,335991,1,25
9,Sreesanth,4,0,31,2,7.75,12,3,1,0,2,1,335991,1,50
10,Piyush Chawla,4,0,16,2,4,15,2,0,1,0,1,335991,1,56
0,Shane Watson,4,0,20,2,5,15,3,0,0,1,2,335992,1,50
1,Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0,2,335992,1,0
2,Munaf Patel,3,0,20,2,6.67,9,2,1,0,0,2,335992,1,50
3,Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0,2,335992,1,25
4,Shane Warne,4,1,23,1,5.75,15,1,2,0,0,2,335992,1,37
5,Yusuf Pathan,1,0,10,0,10,1,0,1,0,0,2,335992,1,0
6,Praveen Kumar,3,0,42,1,14,5,8,1,0,0,1,335992,1,19
7,Zaheer Khan,4,0,24,1,6,15,5,0,0,0,1,335992,1,25
8,Vinay Kumar,2,0,15,0,7.5,4,2,0,1,0,1,335992,1,0
9,Anil Kumble,4,0,22,0,5.5,10,2,0,1,0,1,335992,1,0
10,Jacques Kallis,1,0,7,0,7,2,1,0,0,0,1,335992,1,0
11,Sunil Joshi,3.1,0,27,1,8.53,9,4,1,0,0,1,335992,1,25
0,Jacob Oram,4,0,32,3,8,9,3,1,0,0,2,335993,1,79
1,Manpreet Gony,4,0,40,2,10,9,4,2,0,1,2,335993,1,50
2,Palani  Amarnath,4,0,29,2,7.25,11,5,0,0,0,2,335993,1,50
3,Muttiah Muralitharan,4,0,12,0,3,15,0,0,3,0,2,335993,1,6
4,Joginder Sharma,4,0,32,1,8,7,2,1,1,1,2,335993,1,25
5,Ashok Dinda,3,0,25,0,8.33,11,4,0,2,0,1,335993,1,0
6,Ishant Sharma,3,0,26,0,8.67,10,1,1,1,1,1,335993,1,0
7,Ajit Agarkar,3,0,19,1,6.33,9,3,0,0,0,1,335993,1,25
8,David Hussey,1,0,10,0,10,2,0,1,0,0,1,335993,1,0
9,Mohammad Hafeez,2,0,16,0,8,2,0,1,1,0,1,335993,1,0
10,Murali Kartik,3,0,33,0,11,2,2,2,0,0,1,335993,1,0
11,Laxmi Shukla,2,0,18,0,9,3,2,0,0,0,1,335993,1,0
0,RP Singh,4,1,15,2,3.75,18,2,0,2,0,2,335994,1,68
1,Nuwan Zoysa,4,0,30,1,7.5,11,3,1,1,1,2,335994,1,25
2,Sanjay Bangar,4,0,34,2,8.5,9,4,1,0,0,2,335994,1,50
3,Shahid Afridi,4,0,32,2,8,11,1,2,0,1,2,335994,1,50
4,Pragyan Ojha,2,0,14,0,7,4,2,0,0,0,2,335994,1,0
5,Doddapaneni Kalyankrishna,2,0,23,0,11.5,2,2,1,0,0,2,335994,1,0
6,Ashish Nehra,2,0,19,0,9.5,5,4,0,0,0,1,335994,1,0
7,Shaun Pollock,2,0,33,0,16.5,3,3,3,0,0,1,335994,1,-6
8,Dhawal Kulkarni,1,0,8,0,8,4,2,0,0,0,1,335994,1,0
9,Sanath Jayasuriya,2,0,17,0,8.5,4,1,1,0,0,1,335994,1,0
10,Siddharth Chitnis,2,0,20,0,10,4,2,1,1,0,1,335994,1,0
11,Dwayne Bravo,2,0,31,0,15.5,3,1,3,2,0,1,335994,1,-6
12,Abhishek Nayar,1,0,22,0,22,0,0,3,1,0,1,335994,1,0
0,Brett Lee,4,0,33,1,8.25,7,5,0,0,0,2,335995,1,25
1,Irfan Pathan,4,0,26,2,6.5,8,2,0,3,0,2,335995,1,50
2,Sreesanth,2,0,25,0,12.5,2,3,1,0,0,2,335995,1,-6
3,Vikram Singh,4,0,29,3,7.25,10,4,0,0,0,2,335995,1,79
4,Piyush Chawla,4,0,29,0,7.25,12,3,1,1,0,2,335995,1,0
5,Yuvraj Singh,2,0,11,1,5.5,5,1,0,1,0,2,335995,1,25
6,Glenn McGrath,4,0,29,1,7.25,12,4,1,0,0,1,335995,1,25
7,Mohammad Asif,4,0,39,2,9.75,11,7,0,0,1,1,335995,1,50
8,Farveez Maharoof,3,0,31,0,10.33,7,4,1,1,0,1,335995,1,0
9,Yo Mahesh,4,0,23,1,5.75,9,2,0,0,0,1,335995,1,25
10,Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1,1,335995,1,25
11,Rajat Bhatia,1,0,5,0,5,2,0,0,1,0,1,335995,1,0
0,Dale Steyn,4,0,40,0,10,11,6,1,3,0,2,335996,1,0
1,Zaheer Khan,4,0,38,3,9.5,12,7,1,0,0,2,335996,1,79
2,Praveen Kumar,4,0,29,1,7.25,8,1,2,0,0,2,335996,1,25
3,Jacques Kallis,4,0,36,0,9,4,2,1,0,0,2,335996,1,0
4,Balachandra Akhil,4,0,34,0,8.5,9,1,3,0,0,2,335996,1,0
5,Jacob Oram,4,0,27,0,6.75,10,2,1,2,0,1,335996,1,0
6,Manpreet Gony,4,0,34,3,8.5,10,4,1,0,0,1,335996,1,79
7,Albie Morkel,4,0,38,1,9.5,6,2,2,3,0,1,335996,1,25
8,Palani  Amarnath,4,0,38,2,9.5,5,5,0,0,0,1,335996,1,50
9,Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0,1,335996,1,50
0,Shaun Pollock,4,0,27,2,6.75,11,3,1,0,0,2,335997,1,50
1,Ashish Nehra,1,0,9,0,9,3,2,0,0,0,2,335997,1,0
2,Dilhara Fernando,4,0,41,1,10.25,8,6,1,2,0,2,335997,1,25
3,Dhawal Kulkarni,3,0,15,0,5,9,1,0,1,0,2,335997,1,0
4,Dwayne Bravo,4,0,25,1,6.25,11,2,1,1,0,2,335997,1,25
5,Sanath Jayasuriya,4,1,14,3,3.5,14,1,0,1,0,2,335997,1,97
6,Ajit Agarkar,4,0,23,1,5.75,13,2,0,3,1,1,335997,1,25
7,Ishant Sharma,3.4,0,33,1,9,13,6,1,0,0,1,335997,1,25
8,Ashok Dinda,4,0,12,1,3,16,1,0,0,0,1,335997,1,31
9,Murali Kartik,3,0,24,0,8,9,3,1,1,0,1,335997,1,0
10,Mohammad Hafeez,1,0,16,0,16,1,2,0,1,0,1,335997,1,0
11,Sourav Ganguly,2,0,14,0,7,1,1,0,0,0,1,335997,1,0
12,Laxmi Shukla,1,0,11,0,11,1,2,0,0,0,1,335997,1,0
0,Dale Steyn,4,0,29,1,7.25,10,3,0,1,1,2,335998,1,25
1,Zaheer Khan,4,0,42,1,10.5,9,7,1,0,0,2,335998,1,25
2,Praveen Kumar,4,0,24,0,6,7,2,0,0,0,2,335998,1,0
3,Vinay Kumar,2,0,25,0,12.5,1,4,0,0,0,2,335998,1,-6
4,Jacques Kallis,4,0,39,2,9.75,6,3,2,0,0,2,335998,1,50
5,Virat Kohli,1,0,11,0,11,0,1,0,0,0,2,335998,1,0
6,Sunil Joshi,1,0,19,0,19,0,1,2,0,0,2,335998,1,0
7,Glenn McGrath,4,0,29,4,7.25,10,3,1,0,0,1,335998,1,108
8,Mohammad Asif,4,0,42,0,10.5,8,5,2,0,0,1,335998,1,0
9,Yo Mahesh,4,0,28,0,7,8,3,0,0,1,1,335998,1,0
10,Daniel Vettori,4,0,19,1,4.75,8,1,0,0,0,1,335998,1,31
11,Rajat Bhatia,1,0,14,0,14,1,3,0,0,0,1,335998,1,0
12,Shoaib Malik,1,0,8,0,8,3,0,1,0,0,1,335998,1,0
13,Virender Sehwag,2,0,30,0,15,1,1,3,0,0,1,335998,1,-6
0,Sreesanth,4,0,33,1,8.25,9,5,0,1,0,2,335999,1,25
1,Irfan Pathan,4,0,30,2,7.5,9,3,1,1,0,2,335999,1,50
2,Vikram Singh,4,0,34,0,8.5,6,4,0,0,0,2,335999,1,0
3,Piyush Chawla,4,0,28,3,7,8,2,1,0,0,2,335999,1,79
4,Gagandeep Singh,4,0,37,1,9.25,10,5,1,0,0,2,335999,1,25
5,RP Singh,3.5,0,36,0,9.39,6,5,0,2,0,1,335999,1,0
6,Nuwan Zoysa,4,0,32,1,8,10,4,1,0,0,1,335999,1,25
7,Shahid Afridi,3,0,28,0,9.33,3,4,0,0,0,1,335999,1,0
8,Sanjay Bangar,4,0,26,0,6.5,9,3,0,0,0,1,335999,1,0
9,Doddapaneni Kalyankrishna,3,0,34,1,11.33,5,4,1,2,0,1,335999,1,25
10,Venugopal Rao,1,0,9,0,9,1,1,0,0,0,1,335999,1,0
0,Ashok Dinda,4,0,30,0,7.5,11,5,0,2,0,2,336000,1,0
1,Ishant Sharma,4,0,26,1,6.5,13,4,0,0,1,2,336000,1,25
2,Ajit Agarkar,4,0,46,1,11.5,6,4,3,0,0,2,336000,1,25
3,Umar Gul,4,0,31,3,7.75,8,1,1,1,2,2,336000,1,79
4,David Hussey,2,0,26,0,13,1,4,0,0,0,2,336000,1,-6
5,Sourav Ganguly,1,0,14,0,14,1,3,0,0,0,2,336000,1,0
6,Laxmi Shukla,1,0,16,1,16,1,1,1,0,1,2,336000,1,25
7,Shane Watson,3.1,0,22,2,6.95,11,2,1,2,0,1,336000,1,50
8,Sohail Tanvir,4,0,30,2,7.5,9,2,1,2,0,1,336000,1,50
9,Siddharth Trivedi,4,0,31,2,7.75,8,1,2,2,0,1,336000,1,50
10,Munaf Patel,4,0,29,0,7.25,7,1,1,0,0,1,336000,1,0
11,Shane Warne,2,0,20,1,10,2,1,1,1,0,1,336000,1,25
12,Yusuf Pathan,2,0,14,0,7,4,1,0,0,0,1,336000,1,0
0,Glenn McGrath,4,0,21,1,5.25,11,2,0,0,0,2,336001,1,25
1,Mohammad Asif,4,0,34,1,8.5,7,5,0,1,0,2,336001,1,25
2,Yo Mahesh,4,0,31,1,7.75,13,5,0,0,2,2,336001,1,25
3,Pradeep Sangwan,4,0,40,0,10,6,3,2,2,0,2,336001,1,0
4,Shoaib Malik,1,0,11,0,11,1,1,0,1,0,2,336001,1,0
5,Virender Sehwag,2,0,21,1,10.5,5,1,2,0,0,2,336001,1,25
6,Rajat Bhatia,1,0,11,1,11,1,0,1,0,0,2,336001,1,25
7,Makhaya Ntini,4,0,29,0,7.25,10,3,1,0,0,1,336001,1,0
8,Manpreet Gony,4,0,39,1,9.75,8,3,2,1,0,1,336001,1,25
9,Albie Morkel,4,0,40,0,10,7,6,0,1,0,1,336001,1,0
10,Joginder Sharma,3,0,35,1,11.67,4,2,2,0,1,1,336001,1,25
11,Muttiah Muralitharan,4,0,27,0,6.75,9,2,0,0,1,1,336001,1,0
0,Anil Kumble,4,0,33,1,8.25,12,2,2,1,0,2,336002,1,25
1,Dale Steyn,4,0,19,2,4.75,13,2,0,1,0,2,336002,1,56
2,Jacques Kallis,1.2,0,19,0,14.25,1,2,1,1,0,2,336002,1,0
3,Virat Kohli,3.4,0,25,2,6.82,6,0,1,1,1,2,336002,1,50
4,Vinay Kumar,4,0,27,3,6.75,17,4,1,0,1,2,336002,1,79
5,Balachandra Akhil,3,0,39,0,13,5,5,2,0,0,2,336002,1,-6
6,Chaminda Vaas,4,0,36,1,9,10,7,0,0,0,1,336002,1,25
7,RP Singh,3,0,15,0,5,9,2,0,0,0,1,336002,1,0
8,Sanjay Bangar,4,0,30,1,7.5,10,5,0,0,0,1,336002,1,25
9,Paidikalva Vijaykumar,4,0,29,0,7.25,9,3,1,0,0,1,336002,1,0
10,Venugopal Rao,1,0,18,0,18,0,2,1,0,0,1,336002,1,0
11,Dwaraka Ravi Teja,2,0,19,1,9.5,3,0,2,0,0,1,336002,1,25
12,Chamara Silva,1,0,21,0,21,0,0,3,0,0,1,336002,1,0
0,Ishant Sharma,4,0,41,0,10.25,9,6,1,0,1,2,336003,1,0
1,Ajit Agarkar,3,0,26,0,8.67,5,4,0,1,0,2,336003,1,0
2,Ashok Dinda,3,0,24,1,8,12,4,1,1,0,2,336003,1,25
3,Mohammad Hafeez,3,0,28,1,9.33,5,3,1,0,0,2,336003,1,25
4,David Hussey,3,0,23,1,7.67,8,2,1,0,0,2,336003,1,25
5,Umar Gul,4,0,27,2,6.75,9,3,0,2,0,2,336003,1,50
6,Sreesanth,4,0,25,2,6.25,13,3,0,1,0,1,336003,1,50
7,Irfan Pathan,4,0,18,2,4.5,16,1,1,1,0,1,336003,1,56
8,Vikram Singh,4,0,31,1,7.75,6,3,0,0,0,1,336003,1,25
9,Gagandeep Singh,4,0,43,1,10.75,6,2,3,0,0,1,336003,1,25
10,James Hopes,3,0,35,0,11.67,4,0,3,0,0,1,336003,1,0
11,Piyush Chawla,1,0,16,0,16,2,0,2,0,0,1,336003,1,0
0,Glenn McGrath,4,0,26,0,6.5,11,4,0,0,0,2,336004,1,0
1,Mohammad Asif,4,0,46,1,11.5,9,4,3,3,0,2,336004,1,25
2,Yo Mahesh,4,0,33,3,8.25,11,5,1,0,0,2,336004,1,79
3,Pradeep Sangwan,4,0,21,1,5.25,10,0,1,0,1,2,336004,1,25
4,Rajat Bhatia,2,0,22,1,11,5,0,3,0,0,2,336004,1,25
5,Virender Sehwag,1,0,2,1,2,4,0,0,0,0,2,336004,1,25
6,Shoaib Malik,1,0,6,1,6,3,1,0,0,0,2,336004,1,25
7,Shaun Pollock,4,0,16,2,4,15,0,1,0,0,1,336004,1,56
8,Ashish Nehra,4,0,25,3,6.25,11,2,1,0,0,1,336004,1,79
9,Dwayne Bravo,3,0,27,1,9,6,2,1,0,0,1,336004,1,25
10,Dhawal Kulkarni,2.5,0,18,2,6.35,8,2,0,0,1,1,336004,1,50
11,Sanath Jayasuriya,1,0,16,0,16,0,0,2,0,0,1,336004,1,0
12,Dominic Thornely,2,0,15,1,7.5,3,2,0,0,0,1,336004,1,25
13,Rohan Raje,2,0,13,0,6.5,3,1,0,0,0,1,336004,1,0
0,Sohail Tanvir,4,0,14,6,3.5,17,2,0,0,0,2,336005,1,172
1,Shane Watson,4,0,19,1,4.75,18,3,0,2,0,2,336005,1,31
2,Munaf Patel,4,0,16,2,4,12,1,0,0,0,2,336005,1,56
3,Siddharth Trivedi,2,0,17,0,8.5,4,2,0,0,0,2,336005,1,0
4,Shane Warne,3,0,29,1,9.67,6,3,1,0,0,2,336005,1,25
5,Yusuf Pathan,2,0,9,0,4.5,6,1,0,0,0,2,336005,1,6
6,Makhaya Ntini,3,1,17,0,5.67,10,3,0,0,0,1,336005,1,12
7,Manpreet Gony,3,0,25,0,8.33,8,5,0,0,0,1,336005,1,0
8,Albie Morkel,1,0,10,0,10,4,0,0,3,1,1,336005,1,0
9,Muttiah Muralitharan,4,0,20,1,5,13,0,0,2,0,1,336005,1,25
10,Suresh Raina,1.2,0,10,0,7.5,2,1,0,0,0,1,336005,1,0
11,Vidyut Sivaramakrishnan,2,0,22,1,11,5,1,2,1,0,1,336005,1,25
0,Sreesanth,4,0,16,2,4,17,2,0,2,0,2,336006,1,56
1,Irfan Pathan,3.2,0,13,1,3.9,14,2,0,1,0,2,336006,1,31
2,Gagandeep Singh,3,0,28,0,9.33,4,4,0,0,0,2,336006,1,0
3,Vikram Singh,4,0,33,1,8.25,10,4,1,1,0,2,336006,1,25
4,Piyush Chawla,4,0,25,3,6.25,12,2,0,1,0,2,336006,1,79
5,James Hopes,1,0,10,0,10,2,2,0,0,0,2,336006,1,0
6,Dale Steyn,4,0,16,0,4,15,0,1,2,0,1,336006,1,6
7,Zaheer Khan,4,0,29,2,7.25,13,4,0,3,0,1,336006,1,50
8,Praveen Kumar,4,1,22,2,5.5,13,2,1,0,0,1,336006,1,62
9,Jacques Kallis,3,0,14,0,4.67,7,1,0,0,0,1,336006,1,6
10,Anil Kumble,3.2,0,36,0,10.8,7,5,1,2,0,1,336006,1,0
0,Paidikalva Vijaykumar,3,0,17,1,5.67,12,3,0,0,0,2,336007,1,25
1,RP Singh,3,0,12,2,4,11,1,0,2,0,2,336007,1,56
2,Scott Styris,3,0,24,1,8,8,1,2,1,0,2,336007,1,25
3,Shahid Afridi,3,0,27,1,9,6,5,0,0,0,2,336007,1,25
4,Sanjay Bangar,4,0,36,1,9,9,2,2,0,0,2,336007,1,25
5,Pragyan Ojha,4,0,22,1,5.5,10,0,1,1,0,2,336007,1,25
6,Makhaya Ntini,4,0,37,0,9.25,10,2,3,0,0,1,336007,1,0
7,Manpreet Gony,3,0,15,1,5,9,2,0,0,0,1,336007,1,25
8,Albie Morkel,4,0,26,1,6.5,13,3,1,1,0,1,336007,1,25
9,Joginder Sharma,3,0,45,0,15,7,5,3,0,2,1,336007,1,-6
10,Muttiah Muralitharan,4,0,24,1,6,12,3,0,1,0,1,336007,1,25
0,Shaun Pollock,3,0,19,1,6.33,7,2,0,0,0,2,336008,1,25
1,Ashish Nehra,3,0,13,3,4.33,12,2,0,0,0,2,336008,1,85
2,Dhawal Kulkarni,3,0,21,2,7,10,1,2,0,0,2,336008,1,50
3,Dwayne Bravo,2.2,0,12,2,5.14,8,0,0,4,0,2,336008,1,50
4,Sanath Jayasuriya,2,0,17,0,8.5,2,2,0,0,0,2,336008,1,0
5,Rohan Raje,3,0,19,2,6.33,6,2,0,1,0,2,336008,1,50
6,Sohail Tanvir,3.1,0,13,0,4.11,13,1,0,4,0,1,336008,1,6
7,Munaf Patel,3,0,21,0,7,9,0,1,1,0,1,336008,1,0
8,Siddharth Trivedi,3,0,23,0,7.67,9,1,2,0,0,1,336008,1,0
9,Shane Watson,4,0,26,2,6.5,10,3,0,1,0,1,336008,1,50
10,Shane Warne,2,0,19,1,9.5,5,2,0,2,0,1,336008,1,25
0,Manpreet Gony,4,0,36,1,9,6,3,1,1,0,2,336009,1,25
1,Albie Morkel,4,0,35,2,8.75,7,5,0,0,2,2,336009,1,50
2,Muttiah Muralitharan,4,0,25,0,6.25,9,2,0,3,0,2,336009,1,0
3,Palani  Amarnath,3,0,35,0,11.67,4,5,1,0,0,2,336009,1,0
